Title,Genres,Rank,Popularity,Score,Episodes,Episode length,Release Date
Toshi wo Totta Wani,"Comedy,Romance",7674,8800,6.25,1,13 min.,Fall 2010
Neko Neko Nihonshi,"Comedy,Romance",7660,8995,6.25,32,9 min. per ep.,Spring 2016
Majokko Tickle,"Comedy,Romance",7656,11137,6.25,45,24 min. per ep.,Spring 1978
Mirai no Watashi,"Comedy,Slice of Life",7657,7878,6.25,2,1 min. per ep.,Spring 1978
Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,"Action,Sci-Fi",7690,11655,6.24,1,20 min.,Spring 1978
Silent Möbius 2,"Adventure,Fantasy,Sci-Fi",7667,8754,6.25,1,59 min.,Spring 1978
Mafukiden: Pandarian,"Adventure,Comedy,Fantasy",7655,11836,6.25,26,25 min. per ep.,Winter 2005
Monster Hunter Stories: Ride On,"Adventure,Comedy,Fantasy",7658,4787,6.25,75,24 min. per ep.,Fall 2016
Saiyuuki,"Adventure,Comedy,Fantasy",7664,8891,6.25,1,1 hr. 28 min.,Fall 2016
Koukaku Kidoutai Arise: Ghost in the Shell - Logicoma Specials,"Adventure,Comedy,Fantasy",7654,6695,6.25,4,3 min. per ep.,Fall 2016
Arve Rezzle: Kikaijikake no Yousei-tachi,"Action,Drama,Mystery,Sci-Fi,Suspense",7634,3755,6.25,1,24 min.,Fall 2016
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,"Comedy,Romance,Ecchi",7636,814,6.25,10,23 min. per ep.,Fall 2017
Bobobo-bo Bo-bobo Recap,"Action,Comedy,Sci-Fi",7635,10122,6.25,1,25 min.,Fall 2017
"Anpanman to Hajimeyou! Iro, Kazu, Katachi Wakaru ka na Iro, Katachi","Action,Comedy,Sci-Fi",7633,14189,6.25,1,25 min.,Fall 2017
Kingyo Chuuihou! (Movie),"Action,Comedy",7652,12680,6.25,1,21 min.,Fall 2017
Sasurai no Shoujo Nell,"Action,Comedy",7665,10632,6.25,26,24 min. per ep.,Fall 1979
Mahoutsukai Reimeiki,"Action,Adventure,Comedy,Fantasy",7629,2059,6.26,12,24 min. per ep.,Spring 2022
King of Prism by Pretty Rhythm Short Anime,"Comedy,Fantasy",7651,11711,6.25,1,19 min.,Spring 2022
Kyoukai no Rinne,"Comedy,Supernatural",7627,7099,6.26,1,30 sec.,Spring 2022
Larva 2nd Season,"Comedy,Supernatural",7628,11212,6.26,34,2 min. per ep.,Winter 2013
12-sai.,"Comedy,Supernatural",7630,4976,6.25,8,11 min. per ep.,Winter 2013
Muv-Luv Alternative: Total Eclipse Recap - Climax Chokuzen Special,"Action,Sci-Fi",7659,6072,6.25,1,24 min.,Winter 2013
Kinnikuman: New York Kiki Ippatsu!,"Action,Comedy,Sports",7624,12310,6.26,1,45 min.,Winter 2013
Komori-san wa Kotowarenai!,"Comedy,Slice of Life",7653,2279,6.25,12,2 min. per ep.,Fall 2015
Kamen Rider SD Kaiki?! Kumo Otoko,"Comedy,Slice of Life",7622,10839,6.26,1,28 min.,Fall 2015
Hikaru no Go: Memories,"Comedy,Supernatural",7619,12134,6.26,1,1 hr. 20 min.,Fall 2015
Isuca: Gokuraku,"Comedy,Romance,Supernatural,Ecchi",7621,4133,6.26,1,25 min.,Fall 2015
Kishin Heidan,"Adventure,Sci-Fi",7625,9497,6.26,7,33 min. per ep.,Fall 2015
AD Police,"Adventure,Horror,Mystery,Sci-Fi,Suspense",7631,4679,6.25,3,27 min. per ep.,Fall 2015
Hakubunchou no Shiro,"Adventure,Horror,Mystery,Sci-Fi,Suspense",7617,16283,6.26,1,4 min.,Fall 2015
Kimi ga Inakucha!,"Adventure,Horror,Mystery,Sci-Fi,Suspense",7623,12159,6.26,1,1 min.,Fall 2015
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,"Action,Drama,Sci-Fi",7615,4907,6.26,1,59 min.,Fall 2015
Fei Ren Xueyuan,"Action,Drama,Sci-Fi",7614,9163,6.26,1,3 min.,Fall 2015
Kujibiki♥Unbalance,"Comedy,Romance",7626,4945,6.26,12,23 min. per ep.,Fall 2006
Doraemon Anniversary 25,"Comedy,Sci-Fi",7613,11971,6.26,1,4 min.,Fall 2006
Cinderella Girls Gekijou: Extra Stage,"Comedy,Slice of Life",7611,11028,6.26,48,2 min. per ep.,Fall 2006
Aitsura Zenin Dousoukai,"Comedy,Slice of Life",7632,16618,6.25,1,4 min.,Fall 2006
Chang Jian Feng Yun,"Action,Drama",7608,12521,6.26,10,15 min. per ep.,Fall 2006
Chang An Huan Jie,"Action,Drama",7607,12730,6.26,40,14 min. per ep.,Fall 2006
Chocolat no Mahou,"Drama,Supernatural",7609,6170,6.26,13,13 min. per ep.,Fall 2006
Houkago Midnighters,"Drama,Supernatural",7620,10834,6.26,1,1 hr. 40 min.,Fall 2006
Atashin'chi 3D Movie: Jounetsu no Chou Chounouryoku Haha Dai Bousou,"Drama,Supernatural",7604,12895,6.26,1,40 min.,Fall 2006
High School Mystery: Gakuen Nanafushigi,"Horror,Mystery",7618,11237,6.26,41,25 min. per ep.,Spring 1991
Anata wo Zutto Aishiteru,"Adventure,Fantasy",7602,10879,6.26,1,1 hr. 22 min.,Spring 1991
Yawara!: Sore Yuke Koshinuke Kids!!,"Comedy,Slice of Life,Sports",7601,9704,6.26,1,1 hr.,Spring 1991
Captain Tsubasa Special,"Comedy,Slice of Life,Sports",7606,13920,6.26,1,3 min.,Spring 1991
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,"Drama,Fantasy,Mystery",7616,9975,6.26,1,48 min.,Spring 1991
Umayon,"Drama,Fantasy,Mystery",7596,4771,6.26,12,3 min. per ep.,Summer 2020
Cinderella Girls Gekijou Specials,"Comedy,Slice of Life",7610,9250,6.26,2,2 min. per ep.,Summer 2020
Crazy Roulette,"Comedy,Slice of Life",7612,13630,6.26,1,2 min.,Summer 2020
Tegami: Haikei Juugo no Kimi e,"Comedy,Slice of Life",7594,11573,6.26,1,4 min.,Summer 2020
Sono Hanabira ni Kuchizuke wo: Risa x Miya Gekijou,"Comedy,Girls Love,Romance,Slice of Life",7591,6403,6.26,10,9 min. per ep.,Summer 2020
Submarine 707R,"Action,Adventure,Sci-Fi",7592,8938,6.26,2,50 min. per ep.,Summer 2020
Bakukyuu Renpatsu!! Super B-Daman,"Action,Adventure,Sci-Fi",7605,11024,6.26,18,40 min. per ep.,Winter 1999
Silent Möbius: The Motion Picture,"Adventure,Sci-Fi,Supernatural",7589,7784,6.26,1,54 min.,Winter 1999
Shoujo☆Conto All Starlight,"Adventure,Sci-Fi,Supernatural",7587,8892,6.26,26,3 min. per ep.,Winter 1999
Shouwa Ahozoushi Akanuke Ichiban!,"Adventure,Sci-Fi,Supernatural",7588,11556,6.26,22,25 min. per ep.,Fall 1985
Sekkou Boys,"Adventure,Sci-Fi,Supernatural",7585,2640,6.26,12,7 min. per ep.,Winter 2016
Sister Princess: Re Pure,"Drama,Romance",7590,5900,6.26,13,25 min. per ep.,Fall 2002
Arcana Famiglia,"Action,Fantasy,Romance",7603,1003,6.26,12,24 min. per ep.,Summer 2012
Saint Seiya Omega,"Action,Adventure,Fantasy",7581,2766,6.26,97,23 min. per ep.,Spring 2012
Pokemon Fushigi no Dungeon: Magnagate to Mugendai Meikyu,"Adventure,Fantasy",7579,8215,6.26,2,2 min. per ep.,Spring 2012
Shin Kyojin no Hoshi,"Adventure,Fantasy",7586,12829,6.26,52,25 min. per ep.,Fall 1977
Sangokushi (1985),"Adventure,Fantasy",7583,11825,6.26,1,1 hr. 30 min.,Fall 1977
Suki na Mono wa Suki Dakara Shou ga Nai!!: Onsen ni Ikou!,"Boys Love,Comedy,Slice of Life",7593,8128,6.26,1,25 min.,Fall 1977
Samurai Noodles: The Originator,"Boys Love,Comedy,Slice of Life",7582,10631,6.26,1,1 min.,Fall 1977
Uchuu Taitei God Sigma,"Boys Love,Comedy,Slice of Life",7595,11327,6.26,50,25 min. per ep.,Spring 1980
Omoide wa Kireide,"Boys Love,Comedy,Slice of Life",7576,16189,6.26,1,2 min.,Spring 1980
Pokemon: Pikachu Tanken Club,"Adventure,Comedy,Fantasy",7580,6612,6.26,1,21 min.,Spring 1980
McDull: Gushi,"Adventure,Comedy,Fantasy",7571,14256,6.26,1,1 hr. 15 min.,Spring 1980
Meganebu!,"Comedy,Slice of Life",7572,3488,6.26,12,23 min. per ep.,Fall 2013
Xin Jue,"Action,Adventure,Sci-Fi",7570,11751,6.27,13,21 min. per ep.,Fall 2013
Seikai no Senki II Special,"Action,Romance,Sci-Fi",7584,12537,6.26,1,1 hr. 32 min.,Fall 2013
Nuwa Chengzhang Riji,"Comedy,Fantasy",7575,7210,6.26,30,9 min. per ep.,Fall 2013
Under the Dog,"Action,Sci-Fi,Suspense",7569,2625,6.27,1,38 min.,Fall 2013
Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen,"Adventure,Comedy",7567,10688,6.26,1,40 min.,Fall 2013
Persona 2: Another Self,"Action,Fantasy,Supernatural",7578,6950,6.26,1,5 min.,Fall 2013
The☆Doraemons: Goal! Goal! Goal!!,"Comedy,Fantasy,Sci-Fi,Sports",7566,10733,6.27,1,7 min.,Fall 2013
Touma Kishinden Oni,"Comedy,Fantasy,Sci-Fi,Sports",7568,11750,6.27,25,8 min. per ep.,Fall 1995
Shiranpuri (Movie),"Comedy,Fantasy,Sci-Fi,Sports",7561,7603,6.27,1,24 min.,Fall 1995
Sora wo Kakeru Shoujo Picture Drama,"Adventure,Comedy,Sci-Fi",7562,9495,6.27,9,3 min. per ep.,Fall 1995
Shi Huang Zhi Shen,"Action,Comedy",7560,8041,6.27,13,20 min. per ep.,Fall 1995
Nameless,"Action,Comedy",7573,9864,6.26,2,4 min. per ep.,Fall 1995
Natsu no Niwa,"Action,Comedy",7574,14104,6.26,1,3 min.,Fall 1995
Qin Shi Mingyue: Luosheng Tangxia,"Action,Fantasy",7556,13077,6.27,1,18 min.,Fall 1995
Qin Shi Mingyue Tebie Pian: Di Zi Jiang Xi,"Action,Fantasy",7555,13104,6.27,1,15 min.,Fall 1995
Pokemon Best Wishes! Season 2: Decolora Adventure,"Action,Adventure,Comedy,Fantasy",7553,3067,6.27,20,22 min. per ep.,Spring 2013
Rokushin Gattai GodMars,"Action,Sci-Fi",7557,9390,6.27,64,24 min. per ep.,Fall 1981
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!! Special,"Comedy,Romance,Ecchi",7552,4777,6.27,1,23 min.,Fall 1981
Sakura Taisen: New York,"Adventure,Comedy,Supernatural",7559,8700,6.27,6,24 min. per ep.,Fall 1981
Pokemon: Pikachu no Natsumatsuri,"Action,Comedy,Fantasy",7554,6433,6.27,1,21 min.,Fall 1981
Saikyou Robot Daiouja,"Action,Sci-Fi",7558,12051,6.27,50,24 min. per ep.,Winter 1981
Kinnikuman: Kessen! Shichinin no Choujin tai Uchuu Nobushi,"Action,Comedy,Sports",7543,11778,6.27,1,1 hr. 12 min.,Winter 1981
Ketsuekigata-kun! 4,"Action,Comedy,Sports",7541,8621,6.27,12,2 min. per ep.,Winter 2016
Kino no Tabi: The Beautiful World - The Animated Series - Haikyo no Kuni - On Your Way,"Action,Comedy,Sports",7544,8060,6.27,27,4 min. per ep.,Winter 2016
Kiko-chan Smile,"Adventure,Comedy,Slice of Life",7542,11390,6.27,51,25 min. per ep.,Fall 1996
One Piece: Barto no Himitsu no Heya!,"Adventure,Comedy,Slice of Life",7577,5457,6.26,2,23 min. per ep.,Fall 1996
Inko Colors the Animation 2,"Adventure,Slice of Life",7540,14790,6.27,1,7 min.,Fall 1996
Neko Hiki no Oruorane,"Adventure,Slice of Life",7550,10272,6.27,1,30 min.,Fall 1996
Tenkuu Senki Shurato Recaps,"Action,Fantasy",7564,13366,6.27,2,23 min. per ep.,Fall 1996
Tetsuwan Atom: Uchuu no Yuusha,"Action,Adventure,Drama,Sci-Fi",7565,10437,6.27,1,1 hr. 27 min.,Fall 1996
Fuuma no Kojirou: Yasha-hen,"Action,Fantasy",7536,9279,6.27,6,25 min. per ep.,Fall 1996
Eureka Seven AO: Jungfrau no Hanabana-tachi,"Action,Adventure,Drama,Sci-Fi",7535,5462,6.27,1,31 min.,Fall 1996
Daitoshokan no Hitsujikai Picture Drama,"Comedy,Ecchi",7533,6219,6.27,6,9 min. per ep.,Fall 1996
Dog Days'': Gravure Talk,"Comedy,Fantasy,Ecchi",7534,7759,6.27,4,1 min. per ep.,Fall 1996
Code Geass: Soubou no Oz Picture Drama,"Action,Drama,Supernatural",7531,4896,6.27,5,3 min. per ep.,Fall 1996
Guskou Budori no Denki (2012),"Drama,Fantasy,Slice of Life",7538,6938,6.27,1,1 hr. 46 min.,Fall 1996
Captain Tsubasa no Shouka Sakusen,"Drama,Fantasy,Slice of Life",7529,12896,6.27,1,15 min.,Fall 1996
Bubuki Buranki,"Action,Drama,Sci-Fi",7528,2169,6.27,12,24 min. per ep.,Winter 2016
Hikaru no Go Recaps,"Action,Drama,Sci-Fi",7539,11753,6.27,2,30 min. per ep.,Winter 2016
Bakugan Battle Brawlers: Gundalian Invaders,"Action,Adventure,Fantasy",7525,2890,6.27,39,24 min. per ep.,Spring 2011
Attack No.1 (1970),"Drama,Sports",7524,11304,6.27,1,1 hr. 5 min.,Spring 2011
Anmitsu Hime,"Drama,Sports",7522,11388,6.27,51,24 min. per ep.,Fall 1986
Ojamajo Doremi: Owarai Gekijou,"Drama,Sports",7551,10243,6.27,26,1 min. per ep.,Fall 1986
Mahou Shoujo Pretty Sammy Specials,"Adventure,Comedy,Fantasy",7520,10425,6.28,7,3 min. per ep.,Fall 1986
Mahou no Tenshi Creamy Mami: Eien no Once More,"Comedy,Fantasy,Romance",7519,10817,6.28,1,1 hr. 31 min.,Fall 1986
Boku no Marie,"Comedy,Romance,Sci-Fi,Ecchi",7527,7552,6.27,3,30 min. per ep.,Fall 1986
Cosmos Trailer,"Comedy,Romance,Sci-Fi,Ecchi",7532,12629,6.27,1,2 min.,Fall 1986
Asobi ni Iku yo!: Asobi ni Oide - Owari,"Comedy,Romance,Sci-Fi,Ecchi",7523,5463,6.27,1,16 sec.,Fall 1986
Ginga Shippuu Sasuraiger,"Action,Adventure",7537,11298,6.27,43,25 min. per ep.,Spring 1983
Konbini Kareshi,"Romance,Slice of Life",7514,1885,6.28,12,24 min. per ep.,Summer 2017
Kyoukai Senki,"Action,Sci-Fi",7518,3864,6.28,13,24 min. per ep.,Fall 2021
Koi Tsubomi,"Action,Sci-Fi",7513,9949,6.28,1,2 min.,Fall 2021
Koukaku Kidoutai: SAC_2045 - Jizoku Kanou Sensou,"Action,Sci-Fi",7515,8239,6.28,1,1 hr. 58 min.,Fall 2021
Kite Liberator,"Action,Drama,Sci-Fi",7512,3645,6.28,1,58 min.,Fall 2021
Hungry Days: Aoharu ka yo.,"Romance,Slice of Life",7510,6553,6.28,11,30 sec. per ep.,Fall 2021
Chikyuu Bouei Kazoku Special,"Action,Drama",7530,13458,6.27,1,22 min.,Fall 2021
Gokujou!! Mecha Mote Iinchou Second Collection,"Comedy,Romance",7506,9038,6.28,51,24 min. per ep.,Spring 2010
Koukyoushihen Eureka Seven Hi-Evolution 1,"Adventure,Drama,Sci-Fi",7516,4549,6.28,1,1 hr. 32 min.,Spring 2010
Heibai Wushang,"Action,Comedy,Supernatural",7508,6315,6.28,12,11 min. per ep.,Spring 2010
Ganso Tensai Bakabon,"Comedy,Slice of Life",7503,11613,6.28,103,24 min. per ep.,Fall 1975
Geobreeders: File-X Chibi Neko Dakkan,"Adventure,Comedy,Supernatural",7504,8798,6.28,3,30 min. per ep.,Fall 1975
Getsumen To Heiki Mina,"Comedy,Sci-Fi",7505,6204,6.28,11,23 min. per ep.,Winter 2007
Fate/Extra: Last Encore,"Action,Fantasy",7501,982,6.28,10,24 min. per ep.,Winter 2018
Kouya no Shounen Isamu,"Action,Adventure",7517,11709,6.28,52,24 min. per ep.,Spring 1973
Examurai Sengoku,"Action,Sci-Fi",7500,7886,6.28,24,12 min. per ep.,Winter 2009
Tanoshii Willow Town,"Action,Sci-Fi",7485,11974,6.28,26,23 min. per ep.,Fall 1993
Ai no Wakakusa Monogatari Specials,"Drama,Slice of Life",7521,12770,6.27,2,45 min. per ep.,Fall 1993
Future GPX Cyber Formula Graffiti,"Action,Sci-Fi",7502,13000,6.28,1,30 min.,Fall 1993
Cowboy Bebop: Ein no Natsuyasumi,"Action,Sci-Fi",7499,3743,6.28,1,1 min.,Fall 1993
Bao Lian Deng,"Action,Adventure,Fantasy",7526,13159,6.27,1,1 hr. 25 min.,Fall 1993
Souten no Ken Specials,"Action,Adventure,Fantasy",7563,9203,6.27,4,30 min. per ep.,Fall 1993
Shounen Sunday CM Gekijou: InuYasha-hen,"Action,Fantasy",7483,7461,6.28,2,32 sec. per ep.,Fall 1993
Rinne no Lagrange Season 2 Specials,"Action,Fantasy",7482,8664,6.28,6,3 min. per ep.,Fall 1993
Qin Shi Mingyue: Bai Bu Fei Jian,"Action,Fantasy",7480,8513,6.28,10,22 min. per ep.,Winter 2007
Pokemon: Pikachu no Obake Carnival,"Adventure,Comedy,Fantasy",7478,6643,6.28,1,21 min.,Winter 2007
Hidamari Sketch x ☆☆☆ Recap,"Comedy,Slice of Life",7509,11049,6.28,1,1 hr. 7 min.,Winter 2007
Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,"Comedy,Slice of Life",7511,5993,6.28,12,3 min. per ep.,Summer 2017
Strike Witches OVA,"Action,Sci-Fi,Ecchi",7484,3773,6.28,1,8 min.,Summer 2017
Pokemon XY: New Year Special,"Action,Adventure,Comedy,Fantasy",7476,7234,6.28,1,48 min.,Summer 2017
Pa-Pa-Pa the ★ Movie: Perman,"Adventure,Comedy",7474,12756,6.28,1,31 min.,Summer 2017
Peach Boy Riverside,"Adventure,Comedy",7475,1281,6.28,12,23 min. per ep.,Summer 2021
Popotan,"Comedy,Drama,Supernatural,Ecchi",7479,3967,6.28,12,24 min. per ep.,Spring 2003
Ocha-ken: Chokotto Monogatari,"Comedy,Drama,Supernatural,Ecchi",7471,11199,6.28,26,4 min. per ep.,Fall 2003
Monster Strike: Zoku Saishuu-banashi - Pandora no Hako,"Action,Fantasy",7470,8849,6.28,1,8 min.,Fall 2003
Pokemon: Pikachu no Kirakira Daisousaku!,"Adventure,Comedy,Fantasy",7477,6621,6.28,1,20 min.,Fall 2003
Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari,"Adventure,Comedy,Fantasy",7465,12358,6.28,3,28 min. per ep.,Fall 2003
Metronome,"Adventure,Comedy,Fantasy",7467,13216,6.28,1,4 min.,Fall 2003
Queen's Blade: Rebellion,"Action,Adventure,Fantasy,Ecchi",7481,3027,6.28,12,24 min. per ep.,Spring 2012
Mini Hama: Minimum Hamatora,"Comedy,Mystery",7468,7668,6.28,8,5 min. per ep.,Fall 2015
Uchuu no Kishi Tekkaman Blade II,"Action,Adventure,Drama,Sci-Fi",7462,8014,6.29,6,30 min. per ep.,Fall 2015
"Tsunagu, Soramoyou","Action,Adventure,Drama,Sci-Fi",7461,12197,6.29,1,2 min.,Fall 2015
Osomatsu-san Movie: Gekijou Koukai Kinen - Original Tanpen Gekijou,"Action,Adventure,Drama,Sci-Fi",7473,11215,6.28,7,2 min. per ep.,Fall 2015
Miracle,"Action,Adventure,Drama,Sci-Fi",7469,15331,6.28,1,4 min.,Fall 2015
Megane no Mahou,"Action,Adventure,Drama,Sci-Fi",7466,13749,6.28,1,6 min.,Fall 2015
Tamagotchi!,"Action,Adventure,Drama,Sci-Fi",7457,10821,6.29,143,25 min. per ep.,Fall 2009
Shukufuku no Campanella,"Adventure,Fantasy",7455,3464,6.29,12,24 min. per ep.,Summer 2010
Maroko,"Comedy,Drama,Sci-Fi",7464,10970,6.28,1,1 hr. 29 min.,Summer 2010
Tenshi Kinryouku,"Action,Drama,Romance,Supernatural",7458,2739,6.29,3,29 min. per ep.,Summer 2010
Seiren,"Action,Drama,Romance,Supernatural",7452,929,6.29,12,24 min. per ep.,Winter 2017
Shuwarin☆Dorimin,"Action,Drama,Romance,Supernatural",7456,9897,6.29,1,1 min.,Winter 2017
Senran Kagura,"Action,Comedy,Ecchi",7453,1460,6.29,12,24 min. per ep.,Winter 2013
Zettai Bouei Leviathan,"Comedy,Fantasy",7463,3656,6.29,13,20 min. per ep.,Spring 2013
The Missing 8,"Comedy,Fantasy",7459,11740,6.29,Unknown,10 min.,Spring 2013
Mobile Suit SD Gundam's Counterattack,"Comedy,Fantasy",7444,8459,6.29,2,12 min. per ep.,Spring 2013
Odd Taxi Movie: In the Woods,"Comedy,Fantasy",7472,3238,6.28,1,2 hr. 8 min.,Spring 2013
Ningen Kousaten,"Drama,Slice of Life,Sports",7446,8258,6.29,13,24 min. per ep.,Spring 2003
Mini Van Special,"Comedy,Slice of Life",7443,11911,6.29,1,3 min.,Spring 2003
Macross 25th Anniversary: All That VF Macross F Version,"Action,Sci-Fi",7440,8424,6.29,1,2 min.,Spring 2003
Toushi Gordian,"Action,Sci-Fi",7460,11741,6.29,73,25 min. per ep.,Fall 1979
Puchitto Gargantia,"Action,Sci-Fi",7451,5636,6.29,13,1 min. per ep.,Fall 1979
Mass Effect: Paragon Lost,"Action,Adventure,Sci-Fi",7442,5955,6.29,1,1 hr. 34 min.,Fall 1979
Macross F: Choujikuu Gekijou,"Comedy,Slice of Life",7441,8545,6.29,1,2 min.,Fall 1979
Happy Seven: The TV Manga,"Comedy,Fantasy",7435,7295,6.29,13,24 min. per ep.,Fall 2005
Pokemon: Pikachu no Fushigi na Fushigi na Daibouken,"Adventure,Comedy,Fantasy",7450,6866,6.29,1,21 min.,Fall 2005
Hidamari Sketch Recap,"Comedy,Slice of Life",7436,10765,6.29,1,43 min.,Fall 2005
Hajimete no Gal,"Comedy,Romance,Ecchi",7434,390,6.29,10,23 min. per ep.,Summer 2017
Nanako SOS,"Comedy,Romance",7445,10123,6.29,39,23 min. per ep.,Spring 1983
Koukaku Kidoutai Arise [.jp],"Comedy,Romance",7439,7506,6.29,1,3 min.,Spring 1983
Fireball Special,"Comedy,Sci-Fi",7430,9259,6.29,1,3 min.,Spring 1983
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Recap,"Action,Adventure,Comedy,Fantasy",7454,4015,6.29,1,23 min.,Spring 1983
Dr. Slump Movie 01: Arale-chan Hello! Fushigi Shima,"Comedy,Sci-Fi",7429,9775,6.29,1,25 min.,Spring 1983
Cyborg 009 VS Devilman,"Action,Sci-Fi,Supernatural",7428,4990,6.29,3,31 min. per ep.,Spring 1983
Azur Lane,"Action,Sci-Fi",7427,1306,6.29,12,23 min. per ep.,Fall 2019
Gag Manga Biyori: Jump Festa 2002 Special,"Action,Sci-Fi",7432,11733,6.29,1,12 min.,Fall 2019
Full Metal Panic! Invisible Victory Intermission,"Action,Sci-Fi",7431,6939,6.29,2,24 min. per ep.,Fall 2019
Avengers Confidential: Black Widow to Punisher,"Action,Sci-Fi",7426,7138,6.29,1,1 hr. 22 min.,Fall 2019
Haiyoru! Nyaruani,"Comedy,Sci-Fi",7507,3514,6.28,9,2 min. per ep.,Fall 2019
Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi,"Action,Adventure,Fantasy",7437,4051,6.29,1,23 min.,Fall 2019
12-sai. 2nd Season,"Action,Adventure,Fantasy",7422,7387,6.29,4,13 min. per ep.,Fall 2019
Mach GoGoGo (1997),"Action,Adventure,Fantasy",7419,8244,6.3,34,25 min. per ep.,Winter 1997
Kinnikuman (Movie),"Action,Comedy,Sports",7438,11007,6.29,1,48 min.,Winter 1997
Anata no Koe,"Action,Comedy,Sports",7423,16254,6.29,1,4 min.,Winter 1997
Assault Lily: Fruits,"Comedy,Fantasy",7425,8220,6.29,13,2 min. per ep.,Winter 1997
Ashita e Attack!,"Drama,Sports",7424,9875,6.29,23,24 min. per ep.,Spring 1977
Kouya no Kotobuki Hikoutai Gaiden: Oozora no Harukaze Hikoutai,"Action,Adventure",7417,9756,6.3,12,14 min. per ep.,Spring 1977
Mai-Otome Special: Otome no Inori,"Action,Adventure",7421,8715,6.3,1,5 min.,Spring 1977
Koutetsu Sangokushi,"Action,Adventure",7416,5856,6.3,25,24 min. per ep.,Spring 2007
Kakumei no Wakaki Sora,"Action,Adventure",7414,12843,6.3,1,50 min.,Spring 2007
Macross FB7: Ore no Uta wo Kike!,"Action,Romance,Sci-Fi",7420,7437,6.3,1,1 hr. 30 min.,Spring 2007
King of Fighters: Another Day,"Adventure,Drama",7415,5167,6.3,4,10 min. per ep.,Spring 2007
Kyoto Animation: Megane-hen,"Adventure,Drama",7418,5164,6.3,1,30 sec.,Spring 2007
Kaitei Shounen Marine,"Action,Adventure,Sci-Fi",7413,12534,6.3,65,25 min. per ep.,Winter 1969
Hareluya II Boy,"Action,Comedy,Fantasy",7409,9850,6.3,25,23 min. per ep.,Spring 1997
Isekai Quartet Relay PV,"Comedy,Fantasy",7411,7169,6.3,4,1 min. per ep.,Spring 1997
Greek Roman Sinhwa: Olympus Guardian,"Adventure,Fantasy",7433,11310,6.29,39,25 min. per ep.,Winter 2003
"Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki","Comedy,Slice of Life",7403,7434,6.3,1,4 min.,Winter 2003
Gakuen Handsome The Animation,"Boys Love,Comedy",7404,7527,6.3,1,32 min.,Winter 2003
Ginga Tetsudou 999: Hoshizora wa Time Machine,"Drama,Sci-Fi",7406,11795,6.3,1,32 min.,Winter 2003
Fate/Grand Order: Moonlight/Lostroom,"Action,Fantasy,Supernatural",7402,2649,6.3,1,32 min.,Winter 2003
Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa,"Adventure,Comedy,Sci-Fi",7405,10226,6.3,4,25 min. per ep.,Winter 2003
Danball Senki Wars: All Star Battle,"Adventure,Comedy,Sci-Fi",7396,12168,6.3,1,9 min.,Winter 2003
Deca-Dence: Install,"Action,Adventure,Sci-Fi",7397,6578,6.3,1,20 min.,Winter 2003
Curry Meshi in Miracle,"Action,Adventure,Sci-Fi",7394,12999,6.3,1,4 min.,Winter 2003
Hero Mask,"Action,Mystery,Sci-Fi",7410,3575,6.3,15,24 min. per ep.,Winter 2003
Hanamaru Youchien Special Preview,"Action,Mystery,Sci-Fi",7407,9256,6.3,1,4 min.,Winter 2003
Hangyakusei Million Arthur 2nd Season,"Action,Adventure,Fantasy",7408,4584,6.3,13,24 min. per ep.,Spring 2019
Chinmoku no Kantai,"Action,Drama",7390,9582,6.3,3,30 min. per ep.,Spring 2019
Cotton Candy Ei-Ei-Oh!,"Action,Drama",7393,12780,6.3,1,4 min.,Spring 2019
Cinderella Boy,"Action,Adventure,Comedy,Mystery",7391,6469,6.3,13,25 min. per ep.,Summer 2003
Duel Masters Cross,"Action,Adventure,Comedy,Fantasy",7401,9640,6.3,100,10 min. per ep.,Spring 2008
Astroganger,"Action,Sci-Fi",7386,10777,6.3,26,24 min. per ep.,Fall 1972
AOTU Shijie,"Action,Adventure,Fantasy,Sci-Fi",7385,12106,6.3,32,12 min. per ep.,Fall 1972
Daishizen no Majuu: Bagi,"Action,Romance,Sci-Fi",7395,8779,6.3,1,1 hr. 30 min.,Fall 1972
Blassreiter: Navi,"Action,Sci-Fi",7388,7922,6.3,1,18 min.,Fall 1972
1001 Nights,"Avant Garde,Fantasy,Romance",7382,5110,6.3,1,24 min.,Fall 1972
Cinderella Girls Gekijou 2nd Season Specials,"Comedy,Slice of Life",7392,10190,6.3,3,2 min. per ep.,Fall 1972
Boku wa Robot-goshi no Kimi ni Koi wo Suru,"Romance,Sci-Fi",7389,7774,6.3,1,1 min.,Fall 1972
